EP,Aseman,آسمان
W5,Mahan,ماهان
HH,Taban,تابان
QB,Qeshm Air,قشم ایر
IV,Caspian,کاسپین
NV,Karun (Naft),کارون (نفت)
Y9,Kish Air,کیش ایر
TF,Taftan,تفتان
ZV,Zagros,زاگرس
IR,Iran Air,ایران ایر
I3,Ata,آتا
IS,Sepehran,سپهران
JI,Meraj,معراج
B9,Iran Airtour,ایران ایرتور
AK,Atrak,اترک
HE,Hesa,هسا
H8,Sepahan,سپاهان
VA,Varesh,وارش
VR,Varesh,وارش
PY,Pouya,پویا
SA,Saha,ساها
SE,Saha,ساها
RV,Caspian,کاسپین
IRU,Chabahar,چابهار
FP,Fly Persia,فلای پرشیا
IRZ,Saha,ساها
ZZ,Saha,ساها
SR,Sepehran,سپهران
PYA,Pouya,پویا
PRS,Pars Air,پارس ایر
FPI,Fly Persia,فلای پرشیا
PA,Pars Air,پارس ایر
IU,Chabahar,چابهار
KIA,Kish Air,کیش ایر
RI,Chabahar,چابهار
